route,origin,layover,dest,firstflight,depdate,deptime,first_delay,secondflight,second_deptime,second_depdate,second_delay,total_delay
BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,FL41,4/5/08,2151,20,37
BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,FL40,4/5/08,1857,-2,15
BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,FL40,4/5/08,1857,-2,21
BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,FL41,4/5/08,2151,20,43
BOS_ATL_LAX,BOS,ATL,LAX,FL270,4/3/08,548,7,DL75,4/5/08,1704,0,7
BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,DL535,4/5/08,2206,73,96
BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,DL41,4/5/08,1943,9,32
BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,DL75,4/5/08,1704,0,23
BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,DL885,4/5/08,1451,5,28
BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,DL1423,4/5/08,2134,12,35
BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,DL125,4/5/08,1842,181,204
BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,DL1185,4/5/08,1332,6,29
BOS_ATL_LAX,BOS,ATL,LAX,DL667,4/3/08,834,28,DL125,4/5/08,1842,181,209
BOS_ATL_LAX,BOS,ATL,LAX,DL667,4/3/08,834,28,DL1423,4/5/08,2134,12,40
BOS_ATL_LAX,BOS,ATL,LAX,DL667,4/3/08,834,28,DL885,4/5/08,1451,5,33
BOS_ATL_LAX,BOS,ATL,LAX,FL270,4/3/08,548,7,DL1185,4/5/08,1332,6,13
BOS_ATL_LAX,BOS,ATL,LAX,DL667,4/3/08,834,28,DL1185,4/5/08,1332,6,34
BOS_ATL_LAX,BOS,ATL,LAX,DL667,4/3/08,834,28,DL75,4/5/08,1704,0,28
BOS_ATL_LAX,BOS,ATL,LAX,DL667,4/3/08,834,28,DL41,4/5/08,1943,9,37
