rank,route,origin,layover,dest,firstflight,depdate,deptime,first_delay,secondflight,second_depdate,second_deptime,second_delay,total_delay
10,LAX_SFO_PHX,LAX,SFO,PHX,UA1167,7/12/08,658,-9,US1550,7/14/08,1218,42,33
11,LAX_SFO_PHX,LAX,SFO,PHX,UA1167,7/12/08,658,-9,US412,7/14/08,1916,-28,-37
12,LAX_SFO_PHX,LAX,SFO,PHX,UA1167,7/12/08,658,-9,US408,7/14/08,1713,-2,-11
13,LAX_SFO_PHX,LAX,SFO,PHX,UA1167,7/12/08,658,-9,UA1540,7/14/08,1247,-7,-16
14,LAX_SFO_PHX,LAX,SFO,PHX,UA1167,7/12/08,658,-9,WN1619,7/14/08,1602,5,-4
15,LAX_SFO_PHX,LAX,SFO,PHX,UA1167,7/12/08,658,-9,WN2645,7/14/08,2026,-21,-30
16,LAX_SFO_PHX,LAX,SFO,PHX,UA1167,7/12/08,658,-9,WN2348,7/14/08,1224,23,14
17,LAX_SFO_PHX,LAX,SFO,PHX,UA889,7/12/08,758,-8,WN1619,7/14/08,1602,5,-3
18,LAX_SFO_PHX,LAX,SFO,PHX,UA889,7/12/08,758,-8,WN2348,7/14/08,1224,23,15
19,LAX_SFO_PHX,LAX,SFO,PHX,UA889,7/12/08,758,-8,WN2645,7/14/08,2026,-21,-29
2,LAX_SFO_PHX,LAX,SFO,PHX,WN3534,7/12/08,650,-13,WN2348,7/14/08,1224,23,10
20,LAX_SFO_PHX,LAX,SFO,PHX,UA889,7/12/08,758,-8,US128,7/14/08,1554,43,35
21,LAX_SFO_PHX,LAX,SFO,PHX,UA889,7/12/08,758,-8,US1550,7/14/08,1218,42,34
22,LAX_SFO_PHX,LAX,SFO,PHX,UA889,7/12/08,758,-8,US412,7/14/08,1916,-28,-36
23,LAX_SFO_PHX,LAX,SFO,PHX,UA889,7/12/08,758,-8,US408,7/14/08,1713,-2,-10
24,LAX_SFO_PHX,LAX,SFO,PHX,UA889,7/12/08,758,-8,UA1540,7/14/08,1247,-7,-15
25,LAX_SFO_PHX,LAX,SFO,PHX,WN3002,7/12/08,805,10,UA1540,7/14/08,1247,-7,3
26,LAX_SFO_PHX,LAX,SFO,PHX,WN3002,7/12/08,805,10,WN2348,7/14/08,1224,23,33
27,LAX_SFO_PHX,LAX,SFO,PHX,WN3002,7/12/08,805,10,WN1619,7/14/08,1602,5,15
28,LAX_SFO_PHX,LAX,SFO,PHX,WN3002,7/12/08,805,10,WN2645,7/14/08,2026,-21,-11
29,LAX_SFO_PHX,LAX,SFO,PHX,WN3002,7/12/08,805,10,US412,7/14/08,1916,-28,-18
3,LAX_SFO_PHX,LAX,SFO,PHX,WN3534,7/12/08,650,-13,WN2645,7/14/08,2026,-21,-34
30,LAX_SFO_PHX,LAX,SFO,PHX,WN3002,7/12/08,805,10,US1550,7/14/08,1218,42,52
31,LAX_SFO_PHX,LAX,SFO,PHX,WN3002,7/12/08,805,10,US408,7/14/08,1713,-2,8
32,LAX_SFO_PHX,LAX,SFO,PHX,WN3002,7/12/08,805,10,US128,7/14/08,1554,43,53
33,LAX_SFO_PHX,LAX,SFO,PHX,AA1920,7/12/08,749,26,US408,7/14/08,1713,-2,24
34,LAX_SFO_PHX,LAX,SFO,PHX,AA1920,7/12/08,749,26,US128,7/14/08,1554,43,69
35,LAX_SFO_PHX,LAX,SFO,PHX,AA1920,7/12/08,749,26,US412,7/14/08,1916,-28,-2
36,LAX_SFO_PHX,LAX,SFO,PHX,AA1920,7/12/08,749,26,US1550,7/14/08,1218,42,68
37,LAX_SFO_PHX,LAX,SFO,PHX,AA1920,7/12/08,749,26,UA1540,7/14/08,1247,-7,19
38,LAX_SFO_PHX,LAX,SFO,PHX,AA1920,7/12/08,749,26,WN2348,7/14/08,1224,23,49
39,LAX_SFO_PHX,LAX,SFO,PHX,AA1920,7/12/08,749,26,WN1619,7/14/08,1602,5,31
4,LAX_SFO_PHX,LAX,SFO,PHX,WN3534,7/12/08,650,-13,WN1619,7/14/08,1602,5,-8
